nodeID		X position	Y position
1		269		28
2		274		53
3		275		78
4		271		104
5		278		133
6		277		159
7		277		182
8		274		208
9		277		236
10		274		264
11		274		287
12		224		5
13		237		64
14		228		90
15		222		87
16		238		101
17		227		154
18		227		177
19		227		189
20		238		251
21		235		267
22		235		300
23		52		95
24		235		280
25		188		219
26		242		161
27		141		186
28		31		70
29		206		4
30		121		51
31		131		75
32		26		22
33		29		15
34		192		178
35		223		270
36		179		262
37		63		264
38		213		141
39		97		156
40		190		276
41		99		45
42		200		135
43		194		241
44		178		163
45		155		87
46		10		95
47		32		198
48		234		188
49		240		198
50		145		282
51		212		27
52		22		120
53		231		19
54		172		113
55		212		275
56		205		168
57		154		82
58		93		181
59		214		150
60		229		48
61		86		225
62		34		34
63		23		95
64		164		205
65		63		108
66		54		131
67		122		226
68		162		118
69		211		148
70		54		247
71		165		167
72		135		235
73		75		250
74		204		240
75		59		14
76		181		257
77		219		162
78		186		243
79		74		178
80		132		60
81		193		25
82		91		40
83		60		234
84		162		28
85		100		287
86		88		2
87		26		162
88		109		134
89		34		167
90		48		99
91		35		230
92		107		98
93		231		290
94		185		219
95		155		256
96		82		241
97		182		194
98		8		91
99		183		153
100		159		197
101		49		36
102		82		202
103		216		284
104		85		19
105		108		182
106		213		53
107		104		44
108		61		19
109		99		103
110		177		256
