nodeID		X position	Y position
1		371		24
2		372		43
3		378		64
4		375		80
5		374		103
6		370		121
7		370		144
8		378		162
9		371		182
10		377		202
11		377		223
12		373		241
13		371		262
14		378		281
15		369		303
16		374		323
17		372		342
18		369		363
19		378		384
20		336		0
21		327		18
22		332		87
23		337		53
24		342		81
25		328		93
26		336		116
27		344		125
28		340		211
29		346		216
30		346		237
31		334		245
32		340		291
33		343		244
34		330		281
35		337		327
36		335		371
37		330		331
38		327		375
39		187		245
40		269		335
41		253		21
42		20		333
43		332		205
44		228		231
45		335		376
46		100		265
47		145		32
48		128		171
49		83		228
50		88		164
51		291		260
52		124		197
53		342		37
54		291		271
55		148		362
56		297		211
57		40		291
58		58		28
59		304		274
60		100		118
61		176		36
62		120		384
63		201		212
64		99		213
65		152		127
66		152		271
67		23		21
68		191		55
69		63		85
70		68		335
71		54		372
72		193		357
73		182		91
74		345		395
75		323		331
76		44		361
77		313		26
78		153		136
79		327		43
80		176		245
81		98		370
82		168		60
83		275		255
84		283		223
85		10		39
86		206		118
87		78		356
88		99		363
89		117		209
90		266		31
91		298		362
92		184		211
93		118		91
94		265		328
95		331		335
96		276		214
97		128		293
98		196		260
99		182		129
100		318		75
101		343		257
102		228		39
103		167		17
104		171		357
105		124		364
106		172		365
107		220		319
108		308		31
109		228		229
110		16		73
111		27		26
112		333		27
113		204		286
114		218		72
115		281		263
116		228		388
117		317		146
118		156		366
119		81		52
120		81		202
121		234		68
122		98		37
123		242		3
124		105		147
125		261		399
126		8		109
127		203		26
128		257		18
129		196		186
130		287		270
131		302		269
132		270		8
133		27		164
134		165		358
135		125		378
136		288		299
137		39		57
138		77		0
139		329		382
140		51		106
141		53		241
142		180		221
143		260		5
144		245		140
145		37		137
146		337		215
147		174		65
148		293		270
149		135		46
150		231		97
151		343		304
152		107		381
153		244		171
154		22		29
155		257		269
156		103		163
157		318		103
158		44		330
159		261		398
160		199		194
161		192		365
162		26		261
163		181		165
164		197		177
165		284		66
166		211		88
167		7		192
168		262		204
169		335		159
170		269		144
