nodeID		X position	Y position
1		275		24
2		271		40
3		272		63
4		273		84
5		270		102
6		273		120
7		273		142
8		271		160
9		270		182
10		271		200
11		276		223
12		277		240
13		273		264
14		277		282
15		241		44
16		223		56
17		232		38
18		229		82
19		224		80
20		242		124
21		242		146
22		232		141
23		237		160
24		232		181
25		242		245
26		238		262
27		242		241
28		238		250
29		99		263
30		25		73
31		200		95
32		247		177
33		183		226
34		101		38
35		7		84
36		124		229
37		33		167
38		46		176
39		37		259
40		135		289
41		144		38
42		129		221
43		207		244
44		64		38
45		63		264
46		189		195
47		31		45
48		44		223
49		59		178
50		114		115
51		163		297
52		18		61
53		66		157
54		76		58
55		133		142
56		61		285
57		28		40
58		41		79
59		113		131
60		213		19
61		118		195
62		132		143
63		223		30
64		31		109
65		109		234
66		8		19
67		31		238
68		194		92
69		63		268
70		156		170
71		73		181
72		178		222
73		129		112
74		142		222
75		137		40
76		139		273
77		214		219
78		131		117
79		206		86
80		210		161
81		198		49
82		160		160
83		165		271
84		66		140
85		229		16
86		136		47
87		117		90
88		86		206
89		170		173
90		132		178
91		218		60
92		0		11
93		64		205
94		59		268
95		24		5
96		175		267
97		156		70
98		91		172
99		39		255
100		134		232
101		236		103
102		9		157
103		191		81
104		122		162
105		137		168
106		248		111
107		14		120
108		93		69
109		245		88
110		28		219
111		134		278
112		8		89
113		128		243
114		59		103
115		41		105
116		42		169
117		222		117
118		55		97
119		88		199
120		63		137
121		185		170
122		25		92
123		91		123
124		205		202
125		154		109
126		189		103
127		163		166
128		80		18
129		76		221
130		115		89
131		222		93
132		74		258
133		39		10
134		150		275
135		115		207
136		127		300
137		183		14
138		228		226
139		40		26
140		68		202
