nodeID		X position	Y position
1		570		18
2		569		32
3		575		47
4		569		62
5		574		79
6		574		90
7		570		105
8		573		124
9		571		139
10		573		151
11		570		169
12		571		182
13		570		197
14		572		212
15		576		227
16		573		242
17		576		255
18		573		270
19		569		288
20		573		303
21		569		317
22		574		334
23		575		349
24		569		363
25		569		375
26		577		392
27		578		405
28		571		422
29		574		437
30		571		450
31		571		468
32		577		484
33		574		499
34		572		513
35		574		526
36		577		541
37		572		558
38		578		571
39		573		585
40		575		601
41		548		49
42		532		31
43		538		63
44		532		45
45		524		84
46		524		95
47		534		88
48		532		129
49		542		133
50		532		156
51		534		152
52		542		176
53		534		180
54		530		206
55		527		212
56		526		220
57		544		259
58		544		248
59		524		263
60		531		304
61		531		292
62		544		335
63		539		363
64		531		338
65		531		350
66		547		419
67		545		445
68		547		410
69		544		438
70		547		438
71		547		456
72		547		511
73		544		500
74		523		501
75		544		527
76		547		568
77		523		570
78		545		543
79		531		580
80		539		570
81		22		81
82		203		308
83		376		563
84		109		315
85		183		66
86		70		46
87		72		473
88		500		380
89		64		361
90		315		292
91		416		573
92		406		497
93		350		351
94		233		148
95		336		270
96		276		59
97		536		475
98		465		580
99		214		580
100		88		372
101		157		360
102		409		514
103		365		413
104		320		81
105		455		349
106		175		316
107		168		75
108		479		209
109		486		583
110		532		179
111		103		96
112		65		530
113		117		141
114		355		59
115		116		280
116		522		125
117		518		477
118		270		452
119		518		60
120		497		257
121		183		152
122		402		75
123		306		327
124		256		100
125		115		35
126		65		362
127		216		72
128		396		592
129		527		38
130		477		102
131		39		256
132		215		600
133		487		405
134		14		78
135		397		284
136		19		497
137		451		31
138		488		200
139		48		170
140		511		218
141		13		301
142		192		294
143		61		20
144		494		532
145		420		384
146		137		589
147		248		257
148		436		530
149		401		597
150		319		479
151		382		514
152		335		501
153		490		188
154		103		388
155		535		261
156		259		97
157		111		428
158		50		147
159		463		147
160		189		379
161		356		424
162		93		432
163		252		363
164		519		558
165		132		241
166		256		28
167		64		507
168		241		79
169		332		399
170		197		573
171		330		103
172		459		3
173		358		296
174		429		362
175		327		391
176		161		351
177		361		175
178		385		327
179		210		411
180		271		577
181		83		479
182		139		30
183		266		378
184		243		404
185		30		324
186		420		409
187		124		155
188		108		341
189		205		557
190		449		155
191		372		130
192		51		433
193		509		459
194		481		62
195		247		596
196		106		587
197		192		588
198		292		592
199		473		576
200		248		329
201		29		456
202		260		392
203		196		346
204		319		421
205		216		288
206		364		525
207		152		305
208		518		461
209		2		209
210		27		264
211		416		243
212		362		412
213		243		20
214		288		600
215		478		416
216		193		358
217		478		256
218		276		419
219		33		311
220		102		552
221		318		519
222		544		308
223		247		70
224		292		92
225		81		332
226		151		49
227		18		207
228		368		585
229		239		230
230		87		380
231		416		433
232		140		502
233		72		592
234		280		314
235		357		67
236		174		316
237		46		128
238		300		458
239		140		481
240		15		293
241		216		451
242		103		3
243		475		557
244		65		599
245		33		473
246		515		263
247		523		345
248		415		282
249		504		125
250		295		222
251		207		537
252		108		294
253		113		545
254		220		57
255		308		491
256		214		365
257		103		73
258		270		88
259		56		119
260		35		3
261		71		489
262		241		534
263		280		488
264		309		555
265		188		125
266		492		526
267		545		338
268		224		259
269		361		423
270		111		592
271		92		16
272		446		33
273		174		109
274		466		534
275		251		539
276		60		54
277		133		534
278		279		253
279		539		354
280		505		513
281		337		230
282		499		98
283		476		194
284		77		463
285		94		419
286		200		499
287		276		529
288		125		18
289		221		468
290		478		32
291		528		471
292		154		543
293		357		437
294		376		551
295		503		80
296		307		56
297		187		20
298		295		167
299		546		13
300		174		324
301		318		162
302		102		311
303		270		255
304		434		1
305		24		348
306		477		573
307		452		420
308		251		255
309		40		256
310		428		419
311		27		161
312		348		397
313		296		424
314		415		140
315		271		4
316		50		23
317		267		397
318		196		198
319		372		130
320		424		348
321		541		347
322		264		493
323		278		71
324		3		142
325		173		220
326		165		58
327		373		222
328		116		193
329		516		195
330		475		314
331		263		477
332		398		139
333		291		555
334		490		48
335		94		270
336		333		70
337		381		63
338		367		510
339		223		302
340		424		119
341		465		161
342		422		193
343		397		243
344		88		586
345		406		377
346		64		25
347		516		242
348		184		183
349		414		265
350		39		564
351		351		522
352		495		406
353		363		183
354		193		407
355		56		572
356		425		498
357		534		398
358		155		68
359		157		538
360		420		192
361		91		125
362		255		105
363		235		271
364		255		91
365		159		248
366		309		76
367		377		203
368		32		586
369		296		420
370		422		548
371		63		387
372		280		524
373		357		277
374		181		340
375		53		3
376		127		398
377		91		571
378		447		161
379		62		402
380		313		220
381		543		251
382		540		160
383		56		450
384		14		289
385		344		34
386		302		387
387		491		182
388		527		465
389		170		203
390		20		209
391		37		553
392		479		352
393		253		43
394		423		41
395		366		207
396		464		123
397		262		479
398		326		540
399		163		40
400		264		219
