nodeID		X position	Y position
1		1174		8
2		1174		17
3		1169		24
4		1169		28
5		1170		37
6		1172		41
7		1176		47
8		1171		57
9		1176		64
10		1173		70
11		1169		76
12		1178		82
13		1173		90
14		1174		96
15		1176		100
16		1176		108
17		1178		117
18		1170		122
19		1173		128
20		1178		136
21		1175		140
22		1174		147
23		1175		153
24		1173		163
25		1175		167
26		1177		176
27		1174		180
28		1175		188
29		1171		195
30		1175		201
31		1175		209
32		1171		216
33		1169		224
34		1176		227
35		1176		234
36		1170		242
37		1169		246
38		1176		257
39		1175		264
40		1170		269
41		1177		276
42		1174		280
43		1175		290
44		1178		293
45		1174		304
46		1174		307
47		1174		316
48		1176		321
49		1173		329
50		1177		337
51		1174		343
52		1171		348
53		1170		355
54		1171		362
55		1174		369
56		1173		377
57		1169		382
58		1177		390
59		1177		393
60		1178		404
61		1173		407
62		1172		417
63		1178		421
64		1177		429
65		1171		437
66		1173		440
67		1171		449
68		1177		455
69		1174		461
70		1169		467
71		1174		476
72		1175		483
73		1177		490
74		1173		493
75		1171		504
76		1178		509
77		1175		517
78		1171		521
79		1174		529
80		1175		535
81		1173		542
82		1173		550
83		1171		553
84		1171		563
85		1176		568
86		1171		575
87		1177		580
88		1171		590
89		1173		596
90		1173		604
91		1169		610
92		1178		615
93		1170		623
94		1178		629
95		1178		634
96		1170		642
97		1175		646
98		1174		654
99		1176		661
100		1178		666
101		1169		677
102		1175		681
103		1177		690
104		1176		696
105		1177		703
106		1174		708
107		1169		713
108		1171		723
109		1177		729
110		1176		735
111		1172		744
112		1170		750
113		1169		754
114		1177		763
115		1174		767
116		1178		777
117		1175		780
118		1170		787
119		1178		796
120		1175		801
121		1173		810
122		1174		816
123		1173		823
124		1173		827
125		1175		837
126		1169		842
127		1177		846
128		1178		855
129		1175		864
130		1171		870
131		1173		873
132		1175		882
133		1173		888
134		1176		893
135		1176		903
136		1174		909
137		1177		914
138		1176		921
139		1177		929
140		1178		934
141		1170		940
142		1176		950
143		1174		957
144		1177		960
145		1177		970
146		1171		973
147		1169		982
148		1170		987
149		1171		997
150		1176		1001
