nodeID		X position	Y position
1		373		24
2		373		46
3		372		69
4		371		90
5		374		113
6		377		132
7		370		155
8		373		178
9		372		198
10		378		223
11		377		245
12		371		267
13		370		289
14		373		311
15		369		331
16		373		355
17		376		376
18		337		14
19		326		42
20		335		96
21		336		117
22		342		109
23		330		138
24		323		141
25		326		174
26		335		225
27		348		184
28		330		251
29		336		294
30		323		275
31		326		307
32		322		317
33		326		351
34		336		351
35		246		301
36		312		263
37		333		347
38		269		225
39		270		287
40		73		217
41		168		124
42		284		206
43		188		208
44		158		212
45		98		144
46		163		370
47		198		140
48		271		134
49		316		305
50		343		155
51		78		241
52		131		247
53		167		244
54		318		228
55		51		279
56		179		355
57		335		6
58		341		251
59		106		192
60		76		378
61		41		122
62		139		13
63		177		201
64		282		139
65		238		391
66		119		75
67		327		35
68		215		166
69		6		19
70		293		250
71		160		315
72		297		223
73		267		5
74		329		140
75		258		176
76		284		57
77		107		354
78		343		370
79		242		249
80		197		45
81		306		67
82		258		253
83		67		400
84		290		161
85		98		252
86		231		173
87		70		366
88		323		174
89		246		268
90		52		285
91		329		183
92		116		273
93		4		156
94		121		144
95		148		78
96		120		286
97		243		51
98		203		93
99		335		39
100		156		366
101		344		310
102		220		217
103		166		336
104		261		40
105		128		20
106		22		115
107		260		346
108		220		97
109		57		97
110		265		94
111		176		106
112		263		89
113		313		191
114		143		197
115		247		227
116		25		47
117		139		301
118		88		75
119		3		66
120		144		44
121		2		194
122		181		254
123		167		103
124		302		138
125		92		277
126		260		227
127		276		284
128		172		392
129		43		274
130		80		239
131		298		54
132		145		126
133		124		37
134		22		68
135		124		305
136		37		119
137		117		58
138		94		346
139		187		143
140		177		82
141		282		393
142		64		372
143		149		269
144		196		291
145		243		250
146		305		348
147		150		379
148		208		142
149		164		182
150		260		48
