nodeID		X position	Y position
1		271		25
2		272		42
3		274		64
4		275		87
5		275		107
6		278		128
7		272		150
8		269		174
9		269		193
10		276		218
11		274		238
12		272		258
13		278		279
14		276		303
15		228		28
16		243		22
17		248		42
18		231		60
19		238		80
20		244		137
21		222		137
22		247		198
23		247		217
24		228		206
25		233		209
26		246		288
27		235		283
28		234		273
29		75		247
30		210		40
31		41		242
32		232		61
33		59		58
34		110		51
35		85		97
36		44		19
37		73		93
38		60		150
39		156		36
40		44		59
41		77		260
42		108		43
43		212		283
44		85		237
45		191		119
46		60		101
47		178		253
48		125		43
49		145		283
50		237		193
51		73		161
52		158		125
53		192		133
54		240		57
55		108		217
56		164		116
57		81		227
58		77		43
59		238		220
60		72		215
61		199		107
62		52		213
63		37		116
64		223		149
65		69		267
66		227		292
67		25		135
68		118		216
69		63		122
70		130		290
71		13		283
72		101		271
73		127		189
74		35		133
75		112		35
76		80		15
77		221		94
78		5		268
79		99		257
80		94		23
81		219		39
82		245		279
83		150		121
84		99		204
85		17		162
86		68		197
87		36		173
88		163		210
89		14		139
90		171		46
91		25		35
92		81		239
93		50		190
94		80		192
95		107		254
96		43		212
97		153		194
98		101		34
99		71		155
100		216		42
101		201		114
102		36		21
103		2		266
104		53		218
105		156		293
106		64		110
107		233		23
108		87		188
109		139		133
110		78		283
111		124		84
112		215		219
113		92		12
114		142		29
115		80		66
116		129		104
117		32		67
118		155		213
119		56		52
120		63		180
121		34		195
122		32		41
123		11		200
124		100		148
125		12		104
126		41		25
127		25		256
128		51		272
129		124		119
130		158		86
131		229		43
132		34		22
133		87		36
134		188		96
135		157		24
136		174		63
137		191		132
138		36		106
139		145		139
140		162		2
