nodeID		X position	Y position
1		1169		8
2		1175		11
3		1169		13
4		1170		17
5		1176		22
6		1171		24
7		1175		29
8		1177		34
9		1177		38
10		1176		43
11		1178		46
12		1173		48
13		1170		56
14		1176		57
15		1177		63
16		1175		64
17		1172		68
18		1173		72
19		1176		79
20		1176		80
21		1176		88
22		1169		90
23		1171		93
24		1177		98
25		1173		101
26		1173		108
27		1175		110
28		1176		113
29		1171		117
30		1173		121
31		1170		128
32		1178		132
33		1178		136
34		1176		138
35		1175		144
36		1174		144
37		1172		150
38		1170		154
39		1169		159
40		1169		161
41		1175		167
42		1175		171
43		1172		174
44		1176		178
45		1170		181
46		1173		188
47		1178		189
48		1173		193
49		1173		197
50		1174		200
51		1174		207
52		1173		209
53		1178		216
54		1171		220
55		1172		223
56		1177		228
57		1173		231
58		1173		235
59		1178		240
60		1177		243
61		1171		248
62		1178		249
63		1178		252
64		1174		259
65		1177		264
66		1169		264
67		1172		268
68		1173		276
69		1176		276
70		1174		282
71		1169		287
72		1172		292
73		1174		295
74		1177		297
75		1174		301
76		1173		306
77		1170		312
78		1170		316
79		1170		316
80		1177		324
81		1176		328
82		1169		328
83		1178		333
84		1176		337
85		1175		341
86		1173		345
87		1171		350
88		1174		356
89		1172		358
90		1169		362
91		1176		364
92		1170		370
93		1174		373
94		1177		376
95		1169		384
96		1175		388
97		1172		390
98		1170		394
99		1171		398
100		1176		401
101		1172		406
102		1177		411
103		1169		415
104		1174		416
105		1174		420
106		1176		425
107		1169		430
108		1174		433
109		1171		436
110		1171		444
111		1170		444
112		1170		449
113		1174		456
114		1178		457
115		1172		462
116		1169		464
117		1178		468
118		1175		472
119		1178		478
120		1175		482
121		1173		486
122		1169		491
123		1177		496
124		1177		497
125		1178		503
126		1172		506
127		1174		511
128		1173		515
129		1174		520
130		1178		520
131		1174		528
132		1174		532
133		1176		534
134		1173		539
135		1175		540
136		1175		546
137		1172		551
138		1172		554
139		1170		560
140		1178		563
141		1176		566
142		1177		572
143		1178		574
144		1171		577
145		1173		580
146		1178		586
147		1170		588
148		1176		592
149		1178		600
150		1174		600
151		1170		606
152		1178		611
153		1174		614
154		1178		620
155		1175		624
156		1178		625
157		1174		632
158		1170		634
159		1171		637
160		1172		644
161		1174		646
162		1169		651
163		1170		653
164		1169		656
165		1172		661
166		1178		664
167		1176		669
168		1174		672
169		1169		676
170		1173		680
171		1171		685
172		1169		688
173		1171		696
174		1169		698
175		1172		700
176		1172		704
177		1177		710
178		1172		715
179		1171		717
180		1172		724
181		1172		728
182		1177		729
183		1178		735
184		1171		738
185		1178		743
186		1173		745
187		1174		751
188		1172		752
189		1170		759
190		1170		761
191		1175		767
192		1170		768
193		1174		772
194		1171		777
195		1176		784
196		1171		788
197		1169		792
198		1177		794
199		1177		800
200		1172		800
201		1171		804
202		1176		812
203		1178		813
204		1177		819
205		1174		822
206		1177		827
207		1177		831
208		1172		832
209		1171		838
210		1178		844
211		1170		847
212		1178		849
213		1175		854
214		1174		856
215		1170		862
216		1176		864
217		1173		868
218		1174		874
219		1172		879
220		1178		880
221		1174		887
222		1170		891
223		1170		895
224		1171		900
225		1176		900
226		1170		905
227		1172		910
228		1173		916
229		1176		919
230		1174		923
231		1175		926
232		1175		929
233		1176		935
234		1171		938
235		1176		940
236		1169		944
237		1172		949
238		1175		955
239		1174		957
240		1171		960
241		1178		966
242		1176		971
243		1173		973
244		1170		976
245		1178		983
246		1169		984
247		1175		988
248		1176		993
249		1173		996
250		1176		1000
251		1175		1008
252		1169		1010
253		1177		1013
254		1173		1017
255		1174		1023
256		1175		1028
257		1172		1031
258		1174		1034
259		1174		1039
260		1174		1043
261		1173		1044
262		1176		1050
263		1176		1054
264		1173		1058
265		1171		1060
266		1175		1065
267		1169		1068
268		1172		1076
269		1169		1080
270		1173		1080
271		1177		1084
272		1169		1088
273		1174		1093
274		1175		1098
275		1174		1100
276		1171		1106
277		1178		1109
278		1173		1114
279		1171		1117
280		1174		1124
281		1175		1127
282		1177		1131
283		1174		1132
284		1169		1140
285		1174		1140
286		1171		1147
287		1171		1149
288		1171		1153
289		1175		1157
290		1169		1161
291		1172		1168
292		1176		1169
293		1171		1176
294		1177		1177
295		1176		1180
296		1177		1188
297		1178		1191
298		1177		1195
299		1174		1197
300		1175		1204
301		1122		14
302		1125		14
303		1131		10
304		1128		5
305		1128		34
306		1123		5
307		1146		58
308		1134		12
309		1134		22
310		1133		48
311		1135		18
312		1147		77
313		1131		87
314		1140		36
315		1127		49
316		1140		69
317		1148		53
318		1140		108
319		1137		65
320		1137		66
321		1137		74
322		1120		74
323		1142		120
324		1130		77
325		1146		126
326		1146		133
327		1146		106
328		1135		92
329		1120		109
330		1145		80
331		1130		98
332		1129		149
333		1129		153
334		1143		160
335		1146		183
336		1123		136
337		1127		126
338		1120		142
339		1146		147
340		1146		149
341		1136		140
342		1136		144
343		1148		209
344		1139		145
345		1127		176
346		1147		193
347		1142		155
348		1147		198
349		1147		202
350		1143		205
351		1143		212
352		1147		214
353		1142		182
354		1143		262
355		1129		197
356		1126		221
357		1122		222
358		1137		226
359		1146		201
360		1145		203
361		1139		277
362		1130		230
363		1142		233
364		1128		273
365		1131		244
366		1123		264
367		1139		229
368		1136		296
369		1142		262
370		1143		302
371		1148		293
372		1120		292
373		1130		270
374		1148		258
375		1130		276
376		1136		281
377		1126		286
378		1129		290
379		1129		290
380		1128		318
381		1139		322
382		1136		302
383		1137		338
384		1139		331
385		1144		336
386		1124		353
387		1134		383
388		1140		364
389		1122		346
390		1146		385
391		1125		355
392		1145		333
393		1147		374
394		1138		367
395		1138		347
396		1142		378
397		1123		375
398		1148		412
399		1143		383
400		1143		362
401		1148		394
402		1146		372
403		1138		436
404		1143		383
405		1143		387
406		1142		386
407		1138		451
408		1143		400
409		1122		424
410		1122		432
411		1140		465
412		1140		470
413		1143		423
414		1147		433
415		1148		450
416		1138		485
417		1147		444
418		1126		457
419		1135		481
420		1133		467
421		1137		480
422		1141		449
423		1134		490
424		1134		491
425		1127		512
426		1135		527
427		1143		511
428		1130		515
429		1143		520
430		1127		529
431		1143		528
432		1143		532
433		1147		528
434		1130		539
435		1128		531
436		1128		537
437		1135		572
438		1135		575
439		1144		518
440		1127		572
441		1147		560
442		1134		566
443		1127		583
444		1122		560
445		1133		547
446		1141		568
447		1138		605
448		1135		563
449		1140		588
450		1126		580
451		1133		636
452		1139		606
453		1141		594
454		1139		615
455		1137		597
456		1139		620
457		1141		612
458		1133		664
459		1123		636
460		1121		643
461		1141		626
462		1119		637
463		1145		639
464		1125		642
465		1135		625
466		1130		645
467		1132		644
468		1148		645
469		1121		695
470		1137		653
471		1127		675
472		1121		707
473		1127		686
474		1121		717
475		1122		690
476		1122		694
477		1145		685
478		1122		705
479		1127		707
480		1122		714
481		1122		718
482		1145		704
483		1134		729
484		1127		728
485		1134		737
486		1137		718
487		1148		724
488		1122		742
489		1118		759
490		1141		761
491		1127		747
492		1119		760
493		1142		733
494		1142		749
495		1142		759
496		1142		760
497		1118		787
498		1142		769
499		1142		775
500		1130		772
501		1142		776
502		1142		787
503		1141		813
504		1142		794
505		1127		800
506		1140		819
507		1140		823
508		1137		821
509		1146		827
510		1139		861
511		1126		859
512		1139		866
513		1130		833
514		1122		856
515		1123		842
516		1125		856
517		1134		838
518		1135		844
519		1123		863
520		1135		908
521		1123		877
522		1118		891
523		1132		895
524		1141		885
525		1126		912
526		1132		905
527		1137		895
528		1123		904
529		1147		937
530		1133		911
531		1123		926
532		1138		929
533		1141		960
534		1146		924
535		1141		965
536		1122		941
537		1140		935
538		1138		955
539		1134		944
540		1146		946
541		1133		942
542		1141		996
543		1126		960
544		1141		973
545		1133		959
546		1122		981
547		1138		988
548		1141		1018
549		1126		983
550		1141		1025
551		1138		1008
552		1122		1007
553		1146		1038
554		1126		1004
555		1134		1010
556		1138		1028
557		1140		1017
558		1134		1021
559		1134		1026
560		1134		1030
561		1126		1031
562		1141		1075
563		1141		1079
564		1126		1045
565		1146		1046
566		1138		1065
567		1122		1065
568		1140		1062
569		1122		1077
570		1126		1067
571		1146		1109
572		1122		1085
573		1134		1080
574		1138		1098
575		1134		1087
576		1146		1092
577		1133		1085
578		1126		1101
579		1146		1103
580		1134		1111
581		1138		1127
582		1146		1156
583		1134		1119
584		1122		1137
585		1134		1127
586		1146		1133
587		1146		1135
588		1146		1139
589		1138		1123
590		1122		1182
591		1140		1166
592		1141		1134
593		1146		1174
594		1146		1150
595		1141		1145
596		1143		1157
597		1141		1172
598		1143		1160
599		1137		1163
600		1133		1193
601		140		1176
602		1125		1126
603		1124		1098
604		187		799
605		838		991
606		462		700
607		504		412
608		534		643
609		377		371
610		1009		156
611		1123		933
612		551		225
613		23		618
614		884		930
615		377		430
616		661		744
617		728		309
618		1042		989
619		978		641
620		640		88
621		560		369
622		881		172
623		640		437
624		79		577
625		57		795
626		164		1093
627		81		754
628		698		1182
629		352		371
630		1032		543
631		339		625
632		531		434
633		680		901
634		925		318
635		502		859
636		511		594
637		56		185
638		1086		792
639		497		911
640		514		239
641		119		502
642		691		207
643		1085		93
644		305		782
645		625		163
646		951		567
647		1107		588
648		958		901
649		689		586
650		544		874
651		562		720
652		83		624
653		172		555
654		410		571
655		847		1198
656		378		683
657		568		1011
658		530		986
659		373		393
660		953		726
661		106		303
662		191		308
663		318		1043
664		888		337
665		25		1168
666		53		146
667		299		875
668		453		986
669		335		958
670		404		288
671		148		978
672		680		838
673		535		986
674		988		582
675		548		829
676		865		71
677		126		825
678		513		464
679		187		626
680		1140		291
681		578		915
682		122		958
683		540		748
684		502		707
685		290		943
686		704		558
687		967		247
688		901		73
689		626		1040
690		309		285
691		192		212
692		226		216
693		1146		1130
694		664		720
695		99		12
696		367		16
697		560		379
698		655		661
699		1030		939
700		482		799
701		661		801
702		909		1160
703		65		176
704		101		1124
705		616		809
706		697		713
707		166		933
708		456		761
709		1055		1020
710		413		1115
711		572		870
712		287		924
713		121		861
714		923		1078
715		983		303
716		769		490
717		646		190
718		959		688
719		608		1053
720		912		820
721		10		1194
722		742		952
723		848		31
724		339		44
725		363		1049
726		1148		337
727		489		384
728		495		926
729		968		284
730		27		1143
731		147		931
732		769		830
733		318		35
734		754		1008
735		555		1079
736		996		215
737		887		923
738		59		1142
739		849		870
740		1046		448
741		1048		452
742		644		865
743		966		175
744		715		96
745		1002		241
746		392		819
747		42		250
748		56		731
749		75		1146
750		623		1090
751		226		1173
752		1034		284
753		1053		329
754		1031		231
755		549		1121
756		1111		514
757		178		411
758		592		728
759		296		119
760		290		490
761		784		1006
762		913		101
763		1060		984
764		81		1105
765		591		616
766		175		602
767		1075		168
768		690		740
769		338		1173
770		724		102
771		355		835
772		306		943
773		888		795
774		305		207
775		835		408
776		440		842
777		9		681
778		869		535
779		724		509
780		129		383
781		608		746
782		638		1120
783		1129		474
784		441		879
785		43		475
786		120		83
787		99		377
788		915		477
789		887		1017
790		33		112
791		328		7
792		768		844
793		988		174
794		11		938
795		28		979
796		292		880
797		806		123
798		221		627
799		188		698
800		297		614
801		46		970
802		38		1057
803		191		431
804		758		362
805		508		35
806		1092		65
807		584		942
808		1138		115
809		570		798
810		308		834
811		543		404
812		158		547
813		528		478
814		453		562
815		924		1138
816		397		1165
817		504		1172
818		104		153
819		512		792
820		721		920
821		912		296
822		675		739
823		543		409
824		903		952
825		1114		1172
826		662		101
827		460		368
828		721		1040
829		502		169
830		488		312
831		246		350
832		1140		585
833		747		501
834		288		177
835		967		373
836		74		855
837		139		188
838		997		73
839		318		1065
840		230		951
841		666		838
842		1048		868
843		249		372
844		168		1032
845		120		360
846		1009		1176
847		322		1149
848		673		1155
849		427		845
850		1076		520
851		890		463
852		49		693
853		1144		908
854		703		145
855		599		56
856		1117		1069
857		442		427
858		715		132
859		957		573
860		391		1181
861		709		559
862		321		860
863		407		1179
864		844		450
865		625		377
866		1079		928
867		189		606
868		264		198
869		864		617
870		566		296
871		994		670
872		32		645
873		236		455
874		1087		564
875		805		762
876		476		20
877		1113		159
878		605		345
879		929		1145
880		743		610
881		1039		1096
882		534		311
883		1097		662
884		466		100
885		1110		1143
886		173		922
887		1049		168
888		426		499
889		759		123
890		17		1083
891		333		185
892		918		128
893		1008		161
894		1065		120
