nodeID		X position	Y position
1		573		14
2		578		26
3		578		39
4		577		49
5		576		63
6		569		75
7		569		87
8		572		97
9		572		108
10		574		121
11		570		136
12		573		144
13		570		159
14		572		172
15		571		184
16		578		192
17		578		206
18		574		218
19		577		230
20		577		242
21		569		255
22		570		266
23		572		280
24		573		292
25		572		303
26		576		312
27		574		327
28		573		337
29		573		348
30		574		361
31		573		373
32		570		384
33		569		397
34		569		409
35		576		424
36		573		432
37		576		445
38		571		460
39		569		468
40		573		484
41		572		494
42		573		505
43		577		518
44		571		532
45		576		543
46		527		14
47		527		17
48		537		31
49		537		17
50		543		31
51		546		87
52		546		99
53		528		106
54		528		117
55		538		151
56		545		148
57		546		174
58		545		171
59		528		181
60		538		193
61		527		184
62		541		198
63		531		192
64		547		234
65		547		246
66		539		213
67		523		244
68		542		257
69		542		292
70		542		280
71		530		290
72		522		327
73		535		337
74		535		348
75		525		361
76		535		373
77		544		342
78		547		355
79		547		367
80		527		409
81		542		455
82		537		430
83		542		450
84		522		449
85		542		507
86		522		484
87		542		528
88		530		503
89		542		522
90		537		528
91		221		201
92		125		551
93		320		103
94		24		19
95		243		36
96		404		114
97		548		591
98		257		280
99		214		138
100		195		582
101		322		81
102		314		586
103		257		478
104		140		94
105		184		138
106		458		477
107		33		294
108		352		480
109		504		80
110		405		360
111		140		462
112		68		599
113		33		342
114		147		134
115		542		200
116		418		457
117		194		507
118		7		335
119		445		106
120		163		12
121		504		43
122		353		513
123		294		494
124		31		383
125		484		237
126		374		417
127		22		238
128		88		343
129		121		302
130		394		266
131		11		326
132		233		227
133		292		208
134		92		278
135		85		42
136		195		350
137		234		508
138		257		7
139		52		331
140		363		253
141		290		462
142		3		83
143		271		48
144		475		79
145		469		274
146		507		497
147		531		298
148		402		573
149		31		221
150		365		486
151		169		123
152		440		597
153		493		7
154		175		288
155		61		75
156		199		226
157		540		594
158		218		525
159		465		370
160		329		141
161		400		66
162		96		321
163		56		269
164		438		543
165		446		389
166		346		446
167		309		293
168		402		440
169		41		257
170		249		302
171		417		414
172		464		383
173		182		136
174		267		206
175		76		14
176		478		146
177		272		65
178		7		562
179		303		267
180		451		332
181		247		218
182		274		347
183		382		320
184		354		317
185		356		577
186		209		265
187		240		374
188		454		375
189		535		88
190		77		354
191		107		592
192		91		517
193		486		584
194		498		517
195		512		401
196		394		566
197		449		56
198		492		78
199		527		80
200		68		33
201		350		236
202		467		124
203		532		577
204		235		369
205		355		198
206		232		151
207		212		586
208		270		71
209		318		455
210		115		183
211		356		316
212		102		10
213		86		283
214		379		488
215		257		212
216		435		139
217		40		290
218		101		498
219		18		578
220		298		418
221		223		195
222		384		336
223		484		48
224		452		234
225		320		260
226		488		486
227		530		81
228		522		7
229		17		575
230		0		380
231		245		237
232		231		212
233		514		567
234		310		193
235		436		357
236		434		151
237		350		99
238		461		153
239		354		82
240		333		199
241		505		566
242		398		283
243		141		474
244		113		38
245		353		356
246		482		404
247		360		124
248		410		580
249		502		248
250		99		544
251		491		316
252		104		337
253		199		171
254		389		142
255		477		99
256		1		589
257		307		83
258		102		301
259		69		31
260		61		305
261		461		462
262		139		339
263		535		527
264		194		334
265		179		10
266		187		185
267		82		77
268		263		117
269		341		363
270		539		263
271		265		560
272		313		401
273		268		224
274		130		400
275		156		63
276		194		377
277		88		248
278		336		35
279		71		171
280		89		516
281		246		194
282		194		485
283		93		287
284		471		36
285		219		291
286		526		229
287		353		491
288		533		346
289		10		573
290		425		194
291		131		239
292		152		598
293		56		194
294		380		561
295		527		556
296		481		279
297		345		491
298		217		193
299		59		501
300		310		209
301		212		439
302		101		402
303		340		599
304		144		108
305		54		354
306		144		256
307		400		25
308		380		284
309		95		187
310		465		80
311		296		52
312		296		466
313		58		600
314		288		193
315		296		409
316		299		94
317		327		69
318		45		584
319		466		496
320		123		514
321		177		0
322		224		264
323		502		511
324		35		181
325		286		379
326		515		348
327		196		402
328		19		31
329		108		458
330		57		208
331		147		123
332		496		524
333		171		224
334		4		335
335		515		192
336		396		421
337		192		496
338		93		278
339		274		545
340		5		8
341		339		272
342		244		190
343		417		509
344		291		506
345		434		7
346		373		322
347		459		467
348		219		103
349		280		96
350		479		434
351		536		432
352		190		143
353		28		87
354		206		116
355		334		233
356		303		310
357		145		290
358		221		305
359		318		271
360		395		332
361		469		30
362		406		35
363		8		310
364		312		378
365		275		83
366		87		242
367		465		10
368		251		168
369		30		345
370		262		501
371		327		159
372		203		7
373		322		155
374		401		177
375		71		325
376		350		241
377		340		402
378		353		144
379		203		118
380		23		69
381		124		226
382		151		366
383		162		201
384		249		271
385		312		334
386		63		137
387		337		414
388		538		593
389		397		536
390		357		594
391		489		527
392		22		278
393		352		375
394		373		552
395		522		180
396		434		183
397		525		226
398		108		228
399		125		17
400		278		425
401		273		355
402		474		463
403		508		309
404		512		215
405		215		537
406		484		582
407		457		557
408		455		62
409		271		40
410		388		28
411		363		321
412		515		443
413		161		106
414		421		209
415		538		407
416		106		520
417		43		346
418		298		558
419		385		441
420		270		482
421		38		418
422		424		72
423		219		203
424		485		325
425		210		384
426		454		363
427		457		474
428		524		168
429		87		103
430		79		474
431		440		24
432		240		19
433		99		223
434		295		174
435		472		394
436		385		203
437		68		130
438		125		585
439		492		590
440		332		174
441		464		281
442		7		444
443		10		420
444		218		57
445		439		482
446		540		578
447		371		36
448		170		413
449		2		196
450		432		566
